ACCT # ,City,Client
4938,SOUTH LAKE TAHOE,RALEY'S #127
5338,SOUTH LAKE TAHOE,SAFEWAY STORE #1824
5669,SOUTH LAKE TAHOE,SKI RUN MARKET            
5970,SOUTH LAKE TAHOE,TAHOE BOTTLE SHOP         
4936,SOUTH LAKE TAHOE,RALEY'S #119
3524,SOUTH LAKE TAHOE,KINGS BEVERAGE COMPANY    
1358,SOUTH LAKE TAHOE,SOUTH TAHOE CHEVRON #5988
1803,SOUTH LAKE TAHOE,DESOLATION BREWING COMPANY
5985,SOUTH LAKE TAHOE,TAHOE KEY LIQUOR          
7050,SOUTH LAKE TAHOE,H&S ENERGY STORE #3064
3740,SOUTH LAKE TAHOE,LIQUOR SHACK              
2130,SOUTH LAKE TAHOE,"CORK & MORE, THE          "
5809,SOUTH LAKE TAHOE,U S GASOLINE              
2822,SOUTH LAKE TAHOE,SAFEWAY FUEL CENTER #1824
1158,SOUTH LAKE TAHOE,BEVERAGES & MORE #175
4138,SOUTH LAKE TAHOE,MI PUEBLO                 
3050,SOUTH LAKE TAHOE,MELLOW MOUNTAIN HOSTEL    
4417,SOUTH LAKE TAHOE,AMERICAN #1
3826,SOUTH LAKE TAHOE,WHOLE FOODS MARKET 365
6028,SOUTH LAKE TAHOE,7 ELEVEN STORE #17970 COD
6569,SOUTH LAKE TAHOE,BASE CAMP PIZZA CO          
1323,SOUTH LAKE TAHOE,THIRD MAN TAPHOUSE & GOURMET
9594,SOUTH LAKE TAHOE,CVS PHARMACY #9376 - SODA
9603,SOUTH LAKE TAHOE,CVS PHARMACY #9713 - SODA
7424,SOUTH LAKE TAHOE,"HANGAR, THE                 "
4334,SOUTH LAKE TAHOE,SLICE OF SIERRA PIZZA CO    
8940,SOUTH LAKE TAHOE,IDLE HOUR THE               
8487,SOUTH LAKE TAHOE,ARTEMIS LAKEFRONT CAFE      
8360,SOUTH LAKE TAHOE,BASECAMP HOTEL              
7937,SOUTH LAKE TAHOE,ARCO AM PM GRASS VALLEY     
7936,SOUTH LAKE TAHOE,GROCERY OUTLET #160
7445,SOUTH LAKE TAHOE,VINNY'S PIZZA               
7288,SOUTH LAKE TAHOE,GUNBARREL TAVERN            
7267,SOUTH LAKE TAHOE,OFF THE HOOK                
7207,SOUTH LAKE TAHOE,TAHOE QUEEN                 
7160,SOUTH LAKE TAHOE,HEAVENLY INN LAKE TAHOE     
7008,SOUTH LAKE TAHOE,AMERICAN GAS                
6974,SOUTH LAKE TAHOE,SIDELLIS LAKE TAHOE         
6854,SOUTH LAKE TAHOE,LOFT THE                    
6674,SOUTH LAKE TAHOE,BREWERY AT LAKE TAHOE       
6656,SOUTH LAKE TAHOE,ARTEMIS MEDITERRANEAN GRILL 
6618,SOUTH LAKE TAHOE,TAHOE WELLNESS              
6574,SOUTH LAKE TAHOE,7 ELEVEN STORE #15047 COD
6573,SOUTH LAKE TAHOE,DRIFTWOOD CAFE             
6570,SOUTH LAKE TAHOE,LOTUS PHO                  
6565,SOUTH LAKE TAHOE,MS DIXIE II                
6425,SOUTH LAKE TAHOE,X CROWS BBQ                
6244,SOUTH LAKE TAHOE,FLATSTICK PUB              
6231,SOUTH LAKE TAHOE,MACDUFF'S PUB              
6191,SOUTH LAKE TAHOE,LAKE TAHOE SCHOOL WAREHOUSE
6064,SOUTH LAKE TAHOE,TEP'S VILLA ROMA           
5993,SOUTH LAKE TAHOE,TAHOE TOM'S                
5987,SOUTH LAKE TAHOE,TAHOE PARA DICE TOURS      
5984,SOUTH LAKE TAHOE,TAHOE KEYS DELI            
5973,SOUTH LAKE TAHOE,TAHOE BOWL                 
5965,SOUTH LAKE TAHOE,VERDE MEXICAN ROTISSERIE   
5947,SOUTH LAKE TAHOE,FIRE & ICE GRILL & BAR     
5935,SOUTH LAKE TAHOE,TASTE OF EUROPE            
5783,SOUTH LAKE TAHOE,STEAMER'S BAR & GRILL      
5752,SOUTH LAKE TAHOE,SPROUT'S CAFE              
5722,SOUTH LAKE TAHOE,GRASS ROOTS NATURAL FOODS  
5684,SOUTH LAKE TAHOE,PRIMO'S ITALIAN BISTRO     
5683,SOUTH LAKE TAHOE,CVS PHARMACY #9376 - BEER
5591,SOUTH LAKE TAHOE,SIDESTREET BOUTIQUE/CAFE   
5435,SOUTH LAKE TAHOE,CHIAMAYO                   
5414,SOUTH LAKE TAHOE,SATO JAPANESE RESTAURANT   
5039,SOUTH LAKE TAHOE,"BEAR MOON BAR & GRILL, THE "
4782,SOUTH LAKE TAHOE,PLAZA TAPATIA              
4769,SILVER LAKE,PLASSE RESORT              
4613,SOUTH LAKE TAHOE,RITE AID #06107
4478,SOUTH LAKE TAHOE,BLUE DOG GOURMET PIZZA     
4275,SOUTH LAKE TAHOE,"NAKED FISH, THE            "
4254,SOUTH LAKE TAHOE,MO'S PLACE                 
4180,SOUTH LAKE TAHOE,MOOSE LODGE #1632
4168,SOUTH LAKE TAHOE,OVERLAND MEAT COMPANY      
4098,SOUTH LAKE TAHOE,COLD WATER BREWERY & GRILL 
4025,SOUTH LAKE TAHOE,RIVA GRILL ON THE LAKE     
3927,SOUTH LAKE TAHOE,MCPS IRISH PUB             
3923,SOUTH LAKE TAHOE,ENERGYXTREMES              
3814,SOUTH LAKE TAHOE,ACE HIGH SALOON & SMOKEHOUS
3703,SOUTH LAKE TA,BEST WESTERN STATION HOUSE 
3646,TAHOE PARADIS,LAKE TAHOE GOLF COURSE     
3645,SOUTH LAKE TA,LAKE TAHOE COLLEGE BOOKST  
3642,SOUTH LAKE TA,KALANI'S                   
3562,SOUTH LAKE TA,LANDING TAHOE RESORT & SPA 
3546,TAHOE PARADIS,KOA KAMP GROUND            
3537,KIT CARSON,KIT CARSON LODGE           
3536,KIT CARSON,KIT CARSON GENERAL STORE   
3534,SOUTH LAKE TA,POUR HOUSE                 
3533,KIRKWOOD,KIRKWOOD GENERAL STORE     
3531,NEVADA CITY,HAVEN THEATER              
3451,PENN VALLEY,LAKE WILDWOOD ASSOCIATION  
3364,SOUTH LAKE TA,COACHMAN HOTEL             
3348,SOUTH LAKE TA,BURGER CITY CAFE           
3321,SOUTH LAKE TA,SNO-FLAKE DRIVE-IN         
3314,SO LAKE TAHOE,IZZY'S                     
3302,SOUTH LAKE TA,APPLEBEE'S GRILL & BAR    
3277,SOUTH LAKE TA,TURN 3
3237,SO LAKE TAHOE,THAI ON SKI RUN           
3228,HOPE VALLEY,HOPE VALLEY CAFE          
3137,SO LAKE TAHOE,HEAVENLY VALLEY SKI AREA  
3070,MARKLEEVILLE,GROVER'S CORNER           
3054,SOUTH LAKE TA,REVIVE COFFEE & WINE      
3053,SO LAKE TAHOE,BLACK BEAR LODGE          
3038,SOUTH LAKE TA,BARTON MEMORIAL HOSPITAL  
3019,SOUTH LAKE TA,GRAND CENTRAL PIZZA       
3000,SOUTH LAKE TA,GOODFELLA'S PIZZA         
2903,MARKLEEVILLE,SORENSON'S RESORT         
2885,SOUTH LAKE TA,BEAR BEACH CAFE           
2690,SOUTH LAKE TA,MY THAI CUISINE           
2591,SO LAKE TAHOE,EVAN'S AMERICAN GOURMET   
2576,SO LAKE TAHOE,ERNIE'S COFFEE SHOP       
2552,SOUTH LAKE TA,FIRESIDE LODGE            
2547,SO LAKE TAHOE,LAKE TAHOE RESORT HOTEL   
2493,SOUTH LAKE TA,JALISCO GRILL             
2425,ECHO LAKE,ECHO CHALET RESORT        
2346,SOUTH LAKE TA,SCUSA ITALIAN RISTORANTE  
2296,SO LAKE TAHOE,K MART STORE #9153 CABANA
2284,SO LAKE TAHOE,DENNY'S                     
2249,SOUTH LAKE TA,FRESHIE'S RESTAURANT        
2141,KIRKWOOD,BUB'S PUB                   
2085,SOUTH LAKE TA,PIZZA HUT                   
2052,SOUTH LAKE TA,CALIFORNIA BURGER           
1983,SOUTH LAKE TA,HIMMEL HAUS                 
1981,SOUTH LAKE TA,EL FRESCO MEXICAN BISTRO &  
1782,SO LAKE TAHOE,NIKKI'S CHAAT CAFE          
1777,KIRKWOOD,KIRKWOOD SERVICE CENTER     
1759,SOUTH LAKE TA,MARGARITA'S MEXICAN RESTAURA
1737,SO LAKE TAHOE,CAMP RICHARDSON GENL STORE  
1664,SOUTH LAKE TA,CAFE FIORE                  
1570,SOUTH LAKE TA,STATELINE BREWERY           
1505,MEYERS,"DIVIDED SKY, THE            "
1498,SO LAKE TAHOE,SAFARI ROSE CRUISES         
1437,SOUTH LAKE TA,BEACH RETREAT & LODGE @ TAHO
1361,SOUTH LAKE TA,"BEACON RESTAURANT, THE      "
1151,SOUTH LAKE TA,AMERICAN LEGION POST #795
1137,SOUTH LAKE TA,LAKE TAHOE PIZZA CO         
1086,SOUTH LAKE TA,GREEN TAHOE                 
1085,SOUTH LAKE TA,AZUL - LATIN KITCHEN        
1082,SOUTH LAKE TA,GREEN TAHOE                 
1074,TAHOE PARADIS,LAKE TAHOE GOLF COURSE 
1066,SOUTH LAKE TA,CREATIVE CREPES        
1040,SOUTH LAKE TA,K B TAHOE CHEVRON      
,TOTAL ACCOUNTS Buying:    25,TOTAL ACCOUNTS:    144
,,
,TOTAL ACCOUNTS ON REPORT:    397,
ACCT # ,City,Client
4938,SOUTH LAKE T,RALEY'S #127
5338,SOUTH LAKE T,SAFEWAY STORE #1824